old_department_name, new_department_name, change_effective_date
Demand Generation, Sales Development, 2020-06-01
Product Marketing, Strategic Marketing, 2020-06-01
Corporate Marketing, Communications, 2020-06-01
People Ops, People Success, 2020-05-01
People, People Success, 2020-05-01
Business Operations, Business Technology, 2020-12-01
Owned Events, Brand Activation, 2020-02-01
Legal, Legal & Corporate Affairs, 2022-01-27
People Success, People Business Partners, 2022-02-01
TAM, CSM, 2022-09-01
Incubation Engineering, Expansion, 2024-03-01
Infrastructure, Core Infrastructure, 2024-03-01
Quality, Platforms, 2024-03-01
Development, Core Development, 2024-03-01
Platforms, Internal Infrastructure, 2024-06-04
Product Management, Product Leadership, 2024-06-04
Product Monetization, Monetization, 2024-06-04
UX, UX Research, 2024-06-04
Security, Office of CISO, 2024-06-04
Field Marketing, Regional Marketing, 2024-06-04
Partner Marketing, Regional Marketing, 2024-06-04
Account Based Marketing, Digital Marketing, 2024-06-04
Campaigns, Digital Marketing, 2024-06-04
Search Marketing, Digital Marketing, 2024-06-04