namespace_path,namespace_id
gitlab-com,6543
gitlab-org,9970
gitlab-data,4347861
charts,1400979
gl-recruiting,2299361
gl-frontend,1353442
gitlab-examples,349181
gl-secure,3455548
gl-retrospectives,3068744
gl-release,5362395
gl-docsteam-new,4436569
gl-legal-team,3630110
gl-locations,3315282
gl-serverless,5811832
gl-peoplepartners,5496509
gl-devops-tools,4206656
gl-compensation,5495265
gl-learning,5496484
gitlab-cookbooks,650153
gitlab-services,5723700
gitlab-qa-sandbox-group,4909902
gitlab-sirt,52999839
gitlab-internal/trust-and-safety,8737881
gitlab-com/gl-security/security-operations/sirt,8614184
gitlab-com/gl-security/security-operations/trust-and-safety,8614186
gitlab-com/gl-security/security-operations/gitlab-sirt-public,71873865
gitlab-com/gl-security/security-operations/managers,13207547
gitlab-com/gl-security/security-operations/infrastructure-security-public,12369013
gitlab-com/gl-security/security-operations/infrastructure-security,11616080
gitlab-com/gl-security/security-operations/okr-quarterly-tracking,28174507
gitlab-com/gl-security/security-operations/management,19974137
gitlab-com/gl-infra,1112072
gitlab-com/it/end-user-services,59046794
gitlab-com/it,59046469
gitlab-com/it/end-user-services/issues,66591899
gitlab-community,60717473
gitlab-org-sandbox,58787695
gitlab-org/quality,2750817
gitlab-org/build,1920469
gitlab-org/charts,5032027
gitlab-org/cloud-native,12316469
gitlab-org/distribution,2639717
gitlab-org/ruby/gems,14018650
gitlab-com/gl-infra/gitlab-dedicated,12125409