project_path,project_id
gitlab-org/editor-extensions/gitlab-visual-studio-extension,46231956
gitlab-org/data-quality,45393508
gitlab-data/analytics,4409640
gitlab-org/ux-research,2890326
dot-private/resume-and-cover-letter-latex-plain,38465396
gitlab-org/distribution/team-tasks,4492386
gitlab-org/developer-relations/contributor-success/contributor-success-dashboard,51223094
gitlab-com/gl-security/security-assurance/field-security-team/customer-assurance-activities/caa-servicedesk,26487887
gitlab-data/tableau,43945584
gitlab-org/plan,13453461
gitlab-org/gitlab-design,443787
gitlab-org/gitlab-runner-docker-cleanup,444821
gitlab-org/ruby/gems/gitlab-exporter,1507906
gitlab-org/license-gitlab-com,6457868
gitlab-org/gitlab-environment-toolkit,14292404
gitlab-org/git,13284652
gitlab-org/product-feedback,17429946
gitlab-org/gitlab-shell,14022
gitlab-org/gitlab-ui,7071551
gitlab-org/customers-gitlab-com,2670515
gitlab-org/terraform-images,18943607
gitlab-org/cli,34675721
gitlab-org/release-tools,430285
gitlab-org/verify-stage,14146123
gitlab-org/gitlab-elasticsearch-indexer,2953390
gitlab-org/release-cli,16573099
gitlab-org/technical-writing,10614162
gitlab-org/gitlab-qa,1441932
gitlab-org/gitlab-web-ide,35104827
gitlab-org/status-page,16842968
gitlab-org/docker-distribution-pruner,2651596
gitlab-org/grafana-dashboards,928825
gitlab-org/gitlab-foss,13083
gitlab-org/fulfillment-group/meta,10619765
gitlab-org/gitlab-runner,250833
gitlab-org/terraform-provider-gitlab,40916776
gitlab-org/gitlab-pages,734943
gitlab-org/gitlabktl,11080193
gitlab-com/Product,1641463
gitlab-org/gitaly,2009901
gitlab-org/gitlab-vscode-extension,5261717
gitlab-org/gitlab-docs,1794617
gitlab-com/user-interviews,13124561
gitlab-org/gitlab-development-kit,74823
gitlab-org/container-registry,13831684
gitlab-org/gitlab-omnibus-builder,145205
gitlab-org/omnibus-gitlab,20699
gitlab-org/build/omnibus-gitlab-mirror,14588374
gitlab-org/gitlab-mattermost,387896
gitlab-org/gitlab-workhorse,554859
gitlab-org/gitlab-selenium-server,4262096
gitlab-org/analytics-section/analytics-instrumentation/internal,12051824
gitlab-org/project-templates/jsonnet,19985677
gitlab-org/project-templates/cluster-management,17136273
gitlab-org/build/CNG,4359271
gitlab-org/build/CNG-mirror,7682093
gitlab-org/ci-cd/docker-machine,1254421
gitlab-org/ci-cd/gitlab-runner-ubi-images,17019611
gitlab-org/ci-cd/codequality,17035255
gitlab-org/release/tasks,5064907
gitlab-org/security-products/zaproxy,5576532
gitlab-org/security-products/dependency-scanning,5779760
gitlab-org/security-products/gemnasium-db,12006272
gitlab-org/security-products/release,5994307
gitlab-org/security-products/advisories,5417931
gitlab-com/support/support-team-meta,1083469
gitlab-org/quality/triage-reports,16233736
gitlab-org/quality/testcases,11229385
gitlab-org/quality/testcase-sessions,20083979
gitlab-org/quality/quality-enablement-issue-tracker,49169065
gitlab-org/quality/reference-architectures,22057235
gitlab-org/quality/performance,11511606
gitlab-org/geo-team/customers,13017629
gitlab-org/geo-team/discussions,9237774
gitlab-org/secure/general,13740954
gitlab-org/cluster-integration/auto-deploy-image,11688089
gitlab-org/cluster-integration/auto-build-image,10400718
gitlab-org/cluster-integration/gitlab-agent,19019153
gitlab-org/security/gitlab,15642544
gitlab-org/security/gitlab-elasticsearch-indexer,26394287
gitlab-org/security/omnibus-gitlab,15667093
gitlab-org/charts/gitlab-runner,6329679
gitlab-org/charts/gitlab-agent,34907799
gitlab-org/charts/gitlab,3828396
gitlab-org/gitlab-services/design.gitlab.com,4456656
gitlab-org/cloud-native/gitlab-logger,23174714
gitlab-org/configure/general,13454093
gitlab-org/growth/engineering,13589474
gitlab-org/growth/product,13589490
gitlab-org/database-team/team-tasks,14392833
gitlab-org/gl-openshift/gitlab-runner-operator,22848448
gitlab-org/manage/general-discussion,7750063
gitlab-org/architecture/tasks,22351703
gitlab-org/plan-stage/plan-engineering,50261472
gitlab-org/govern/general,26076251
gitlab-org/cloud-native/gitlab-operator,18899486
gitlab-org/incubation-engineering/backlog,42902479
gitlab-com/ops-sub-department/section-ops-request-for-help,36785816
gitlab-org/opstrace/opstrace,32149347
gitlab-org/opstrace/general,33695349
gitlab-com/dev-sub-department/section-dev-request-for-help,38690603
gitlab-com/sec-sub-department/section-sec-request-for-help,39567707
gitlab-org/quality/engineering-analytics/team-tasks,26049633
gitlab-org/customersdot-ansible,26392061
gitlab-org/community-relations/code-contributor-program,41908214
gitlab-org/manage/import/import-export-performance,20014237
gitlab-org/ci-cd/shared-runners/infrastructure,42547967
gitlab-org/ruby/gems/gitlab-triage,3430480
gitlab-org/manage/integrate/discussions,44065559
gitlab-org/ci-cd/custom-executor-drivers/autoscaler,13822214
gitlab-org/security-products/tests/python-pip,5467277
gitlab-org/quality/engineering-productivity/team,34408484
gitlab-org/incubation-engineering/mobile-devops/readme,28659286
gitlab-org/developer-relations/contributor-success/team-task,39971471
gitlab-com/business-technology/enterprise-apps/intake,21155871
gitlab-org/incubation-engineering/service-desk/meta,41046279
gitlab-org/remote-development/gitlab-workspaces-proxy,43788427
gitlab-org/govern/compliance/general,19416940
gitlab-com/sales-team/field-operations/systems,12019779
gitlab-org/incubation-engineering/mobile-devops/feedback,39041388
gitlab-org/modelops/anti-abuse/team-tasks,35854345
gitlab-org/manage/import/support,30281096
gitlab-org/ci-cd/custom-executor-drivers/fargate,16240616
gitlab-org/security-products/analyzers/container-scanning,24673064
gitlab-org/secure/vulnerability-research/research/experiments,24007929
gitlab-org/professional-services-automation/tools/migration/congregate,30561867
gitlab-org/security-products/analyzers/fuzzers/jsfuzz,19871264
gitlab-org/ci-cd/shared-runners/images/gcp/windows-containers,13815397
gitlab-org/ci-cd/shared-runners/images/macstadium/orka,19922160
charts/gitlab-omnibus,6329603
gitlab-org/quality/engineering-productivity/triage-ops-playground,36072369
gitlab-com/www-gitlab-com,7764
gitlab-org/gitlab,278964
gitlab-cookbooks/cookbook-omnibus-gitlab,95156
gitlab-org/gitlab-ci,14288
gitlab-org/trello-power-up,3466815
gitlab-org/gitlab-ci-yml,1209837
gitlab-org/cookbook-gitlab,16648
gitlab-org/gitlab-core-team/general,7783667
gitlab-org/cloud-connector-team/team-tasks,13017990
gitlab-org/plan-stage/okr-sandbox,23862566
gitlab-org/editor-extensions/gitlab-language-server-for-code-suggestions,46519181
gitlab-org/ci-cd/release-group/release,16302012
gitlab-com/gl-security/security-department-meta,4501968
gitlab-org/quality/engineering-productivity/master-broken-incidents,40549124
gitlab-com/gl-security/security-assurance/security-compliance-commercial-and-dedicated/observation-management,18824670
gitlab-com/security-accountability,7552429
gitlab-com/teampage-map,6621605
gitlab-data/meltano-gitlab,23190568
gitlab-examples/review-apps-nginx,1713704
gitlab-org/gitlab-recipes,13764
gitlab-services/version-gitlab-com,6491770
gitlab-com/marketing/corporate_marketing/contribute/contribute-2020,11676871
gitlab-org/monitor/sandbox/manual_prometheus,13584096
gitlab-examples/ops/incident-setup/everyone/tanuki-inc,14986497
gitlab-org/security-products/cwe-info-go,15232184
gitlab-examples/security/simply-simple-notes,15310444
gitlab-org/ci-cd/package-stage/cicd_101/story-of-beans,15499610
gitlab-examples/security/simply-simple-notes-whitesource,17599029
gitlab-com/gl-security/threatmanagement/redteam/redteam-public/gitrob,17763431
gitlab-org/security-products/demos/django,25582529
gitlab-org/security-products/demos/dropwizard,25582530
gitlab-org/security-products/demos/flask,25582531
gitlab-org/security-products/demos/go-tree-sitter,25582532
gitlab-org/security-products/demos/pmd,25582534
gitlab-org/security-products/demos/socket-io,25582535
gitlab-org/security-products/demos/spring-framework,25582562
gitlab-com/gl-security/engineering-and-research/inventory,26580586
gitlab-org/opstrace/cortex-operator,32304444
gitlab-com/gl-security/security-assurance/team-security-dedicated-compliance/team-files,35717415
gitlab-org/plan-stage/frontend-engineers/test-project,37633363
gitlab-org/secure/gsoc-sast-benchmark/baselines/WebGoat,38132140
gitlab-org/secure/gsoc-sast-benchmark/baselines/vuln-flask-web-app,38624068
gitlab-org/ruby/gems/attr_encrypted,39527006
gitlab-org/manage/import/gitlab-migration-test/tina-gmt-group/multi-docker,41307662
gitlab-org/ci-cd/gitlab-runner-stress/kafka,41875259
gitlab-org/quality/customerdot-test-case-sessions-sandbox,48907354
gitlab-org/gl-security/security-engineering/security-automation/spam/spamcheck,43384483
gitlab-private/gl-security/engineering-and-research/automation-team/escalator/appsec-escalator,17053917
gitlab-com/gitlab-OKRs,42280777
gitlab-com/it/end-user-services/issues/it-help-issue-tracker,45351306
gitlab-com/gl-infra/production,7444821
gitlab-com/gl-infra/reliability,1304532
gitlab-com/gl-infra/cloudflare,12449861
gitlab-com/gl-infra/infra-mgmt,42240633
gitlab-com/gl-infra/reliability-sav,33130129
gitlab-com/gl-infra/reliability-reports,43323437
gitlab-com/gl-infra/on-call-handovers,14856495
gitlab-com/gl-infra/stackarmor,38852811
gitlab-com/gl-infra/ci-images,12968493
gitlab-com/gl-infra/oncall-robot-assistant,3950829
gitlab-com/gl-infra/capacity-planning,26716041
gitlab-com/gl-infra/cloudflare-firewall,18171162
gitlab-com/gl-infra/fluentd-docker,23798234
gitlab-com/gl-infra/on-call-handovers-test,33521765
gitlab-com/gl-infra/tamland,20709159
gitlab-com/gl-infra/scalability,14231319
gitlab-com/gl-infra/mstaff,20095954
gitlab-com/gl-infra/redis-build,41300770
gitlab-com/gl-infra/next.gitlab.com,10956869
gitlab-com/gl-infra/readiness,13170322
gitlab-com/gl-infra/certificates-updater,14778692
gitlab-com/gl-infra/delivery,8223987
gitlab-com/gl-infra/feature-flag-log,15208716
gitlab-com/gl-infra/woodhouse-integration-test,21720730
gitlab-com/gl-infra/gitlab-services,35744565
gitlab-com/gl-infra/capacity-planning-test,42376761
gitlab-com/gl-infra/es-diagnostics,18874917
gitlab-com/gl-infra/k8s-workloads/gitlab-com,12547113
gitlab-com/gl-infra/production-engineering,1304532
gitlab-com/gl-security/threatmanagement/vulnerability-management/vulnerability-management-internal/vulnerability-management-tracker,34199366
gitlab-com/gl-security/threatmanagement/vulnerability-management/vulnerability-management-internal/wiz-vulnerabilities,52970585
gitlab-org/build/cng-security,52764962
gitlab-org/ci-cd/shared-runners/images/macstadium/orka,19922160
gitlab-org/cloud-native/charts/gitlab-ingress-nginx,32970696
gitlab-org/cluster-integration/helm-install-image,9184510
gitlab-org/ruby/gems/devfile-gem,43473862
gitlab-org/security-products/analyzers/api-fuzzing-src,5964710
gitlab-org/security-products/analyzers/kics,30656896
gitlab-org/security-products/analyzers/secrets,10861561
gitlab-org/security-products/analyzers/semgrep,24075172
gitlab-com/gl-security/security-assurance/security-risk-team/storm-risk-register,52900819
gitlab-com/gl-security/security-assurance/fedramp/conmon-scans,44355113
gitlab-com/gl-security/security-assurance/team-commercial-compliance/user-access-review,32941490
gitlab-org/quality/pipeline-triage,15291320